# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: GLOBAL_ANALYSISFORECAST_BGC_001_028
# Dataset: cmems_mod_glo_bgc-nut_anfc_0.25deg_P1D-m
# Variable: Mole concentration of nitrate in sea water (no3) mmol m-3
# Geometry: POINT (-38.715941 -17.976844)
# Values from graph: v(t): value vs. time
# Depth: 0.4940253794193268 m

time,no3
2021-11-01T00:00:00.000Z,0.004173838999122381
2021-11-02T00:00:00.000Z,0.004597047343850136
2021-11-03T00:00:00.000Z,0.005148543044924736
2021-11-04T00:00:00.000Z,0.005322058219462633
2021-11-05T00:00:00.000Z,0.005419239867478609
2021-11-06T00:00:00.000Z,0.004861969500780106
2021-11-07T00:00:00.000Z,0.005499124061316252
2021-11-08T00:00:00.000Z,0.006049010902643204
2021-11-09T00:00:00.000Z,0.0056475563906133175
2021-11-10T00:00:00.000Z,0.006432409398257732
2021-11-11T00:00:00.000Z,0.0058897631242871284
2021-11-12T00:00:00.000Z,0.004604320973157883
2021-11-13T00:00:00.000Z,0.005955127999186516
2021-11-14T00:00:00.000Z,0.006966399494558573
2021-11-15T00:00:00.000Z,0.005865820217877626
2021-11-16T00:00:00.000Z,0.0055007003247737885
2021-11-17T00:00:00.000Z,0.0063233100809156895
2021-11-18T00:00:00.000Z,0.005432270932942629
2021-11-19T00:00:00.000Z,0.0045813508331775665
2021-11-20T00:00:00.000Z,0.004482183139771223
2021-11-21T00:00:00.000Z,0.005902598612010479
2021-11-22T00:00:00.000Z,0.007062562741339207
2021-11-23T00:00:00.000Z,0.007869355380535126
2021-11-24T00:00:00.000Z,0.00834682583808899
2021-11-25T00:00:00.000Z,0.0069235386326909065
2021-11-26T00:00:00.000Z,0.006942378357052803
2021-11-27T00:00:00.000Z,0.006259771529585123
2021-11-28T00:00:00.000Z,0.00605575880035758
2021-11-29T00:00:00.000Z,0.006053315009921789
2021-11-30T00:00:00.000Z,0.005977976135909557
2021-12-01T00:00:00.000Z,0.006413882598280907
2021-12-02T00:00:00.000Z,0.007162776775658131
2021-12-03T00:00:00.000Z,0.008147381246089935
2021-12-04T00:00:00.000Z,0.008518887683749199
2021-12-05T00:00:00.000Z,0.008653168566524982
2021-12-06T00:00:00.000Z,0.007842620834708214
2021-12-07T00:00:00.000Z,0.008939730934798717
2021-12-08T00:00:00.000Z,0.010160249657928944
2021-12-09T00:00:00.000Z,0.013072188943624496
2021-12-10T00:00:00.000Z,0.014121390879154205
2021-12-11T00:00:00.000Z,0.011807049624621868
2021-12-12T00:00:00.000Z,0.010304596275091171
2021-12-13T00:00:00.000Z,0.010433479212224483
2021-12-14T00:00:00.000Z,0.010935459285974503
2021-12-15T00:00:00.000Z,0.01112982165068388
2021-12-16T00:00:00.000Z,0.01109737902879715
2021-12-17T00:00:00.000Z,0.011232202872633934
2021-12-18T00:00:00.000Z,0.011817711405456066
2021-12-19T00:00:00.000Z,0.012365464121103287
2021-12-20T00:00:00.000Z,0.012149960733950138
2021-12-21T00:00:00.000Z,0.011461528018116951
2021-12-22T00:00:00.000Z,0.01062884833663702
2021-12-23T00:00:00.000Z,0.010852348059415817
2021-12-24T00:00:00.000Z,0.012519444338977337
2021-12-25T00:00:00.000Z,0.01381496898829937
2021-12-26T00:00:00.000Z,0.012174428440630436
2021-12-27T00:00:00.000Z,0.011230605654418468
2021-12-28T00:00:00.000Z,0.012558569200336933
2021-12-29T00:00:00.000Z,0.012316710315644741
2021-12-30T00:00:00.000Z,0.010457451455295086
2021-12-31T00:00:00.000Z,0.009023340418934822
2022-01-01T00:00:00.000Z,0.008392737247049809
2022-01-02T00:00:00.000Z,0.008353197947144508
2022-01-03T00:00:00.000Z,0.008306559175252914
2022-01-04T00:00:00.000Z,0.008417585864663124
2022-01-05T00:00:00.000Z,0.008088932372629642
2022-01-06T00:00:00.000Z,0.008018585853278637
2022-01-07T00:00:00.000Z,0.008301648311316967
2022-01-08T00:00:00.000Z,0.008434017188847065
2022-01-09T00:00:00.000Z,0.00839192047715187
2022-01-10T00:00:00.000Z,0.008049193769693375
2022-01-11T00:00:00.000Z,0.0074091204442083836
2022-01-12T00:00:00.000Z,0.007434680126607418
2022-01-13T00:00:00.000Z,0.008315843529999256
2022-01-14T00:00:00.000Z,0.008739429526031017
2022-01-15T00:00:00.000Z,0.00851144827902317
2022-01-16T00:00:00.000Z,0.007460845168679953
2022-01-17T00:00:00.000Z,0.006787498947232962
2022-01-18T00:00:00.000Z,0.005837068427354097
2022-01-19T00:00:00.000Z,0.006802629213780165
2022-01-20T00:00:00.000Z,0.006624703761190176
2022-01-21T00:00:00.000Z,0.006043286994099617
2022-01-22T00:00:00.000Z,0.005313822999596596
2022-01-23T00:00:00.000Z,0.004998285789042711
2022-01-24T00:00:00.000Z,0.004686897620558739
2022-01-25T00:00:00.000Z,0.004942931234836578
2022-01-26T00:00:00.000Z,0.005227433517575264
2022-01-27T00:00:00.000Z,0.006323005072772503
2022-01-28T00:00:00.000Z,0.005373610183596611
2022-01-29T00:00:00.000Z,0.004877799190580845
2022-01-30T00:00:00.000Z,0.005004559643566608
2022-01-31T00:00:00.000Z,0.005224638618528843
2022-02-01T00:00:00.000Z,0.005586620420217514
2022-02-02T00:00:00.000Z,0.00673658587038517
2022-02-03T00:00:00.000Z,0.007833151146769524
2022-02-04T00:00:00.000Z,0.005748400930315256
2022-02-05T00:00:00.000Z,0.0054026395082473755
2022-02-06T00:00:00.000Z,0.00568437622860074
2022-02-07T00:00:00.000Z,0.005674493033438921
