# Credits: NECCTON Project (EU) - https://neccton.eu/
# Product: GLOBAL_ANALYSISFORECAST_BGC_001_028
# Dataset: cmems_mod_glo_bgc-car_anfc_0.25deg_P1D-m
# Variable: Mole concentration of dissolved inorganic carbon in sea water (dissic) mol m-3
# Geometry: POINT (-38.710352 -17.97564)
# Values from graph: v(t): value vs. time
# Depth: 0.4940253794193268 m

time,dissic
2021-11-01T00:00:00.000Z,2.139552593231201
2021-11-02T00:00:00.000Z,2.1390693187713623
2021-11-03T00:00:00.000Z,2.1385860443115234
2021-11-04T00:00:00.000Z,2.1381027698516846
2021-11-05T00:00:00.000Z,2.1376192569732666
2021-11-06T00:00:00.000Z,2.1371359825134277
2021-11-07T00:00:00.000Z,2.136967420578003
2021-11-08T00:00:00.000Z,2.136798620223999
2021-11-09T00:00:00.000Z,2.136630058288574
2021-11-10T00:00:00.000Z,2.1364612579345703
2021-11-11T00:00:00.000Z,2.1362926959991455
2021-11-12T00:00:00.000Z,2.1361238956451416
2021-11-13T00:00:00.000Z,2.135955333709717
2021-11-14T00:00:00.000Z,2.135566473007202
2021-11-15T00:00:00.000Z,2.1351778507232666
2021-11-16T00:00:00.000Z,2.134788990020752
2021-11-17T00:00:00.000Z,2.1344001293182373
2021-11-18T00:00:00.000Z,2.1340115070343018
2021-11-19T00:00:00.000Z,2.133622646331787
2021-11-20T00:00:00.000Z,2.1332340240478516
2021-11-21T00:00:00.000Z,2.133411407470703
2021-11-22T00:00:00.000Z,2.133589267730713
2021-11-23T00:00:00.000Z,2.1337668895721436
2021-11-24T00:00:00.000Z,2.133944272994995
2021-11-25T00:00:00.000Z,2.134121894836426
2021-11-26T00:00:00.000Z,2.1342997550964355
2021-11-27T00:00:00.000Z,2.134477138519287
2021-11-28T00:00:00.000Z,2.134044885635376
2021-11-29T00:00:00.000Z,2.1336123943328857
2021-11-30T00:00:00.000Z,2.1331801414489746
2021-12-01T00:00:00.000Z,2.1327478885650635
2021-12-02T00:00:00.000Z,2.1323156356811523
2021-12-03T00:00:00.000Z,2.131883144378662
2021-12-04T00:00:00.000Z,2.131450891494751
2021-12-05T00:00:00.000Z,2.1274867057800293
2021-12-06T00:00:00.000Z,2.1235225200653076
2021-12-07T00:00:00.000Z,2.119558572769165
2021-12-08T00:00:00.000Z,2.1155943870544434
2021-12-09T00:00:00.000Z,2.111630439758301
2021-12-10T00:00:00.000Z,2.107666254043579
2021-12-11T00:00:00.000Z,2.1037020683288574
2021-12-12T00:00:00.000Z,2.1040053367614746
2021-12-13T00:00:00.000Z,2.104308843612671
2021-12-14T00:00:00.000Z,2.104612112045288
2021-12-15T00:00:00.000Z,2.1049156188964844
2021-12-16T00:00:00.000Z,2.1052191257476807
2021-12-17T00:00:00.000Z,2.1055221557617188
2021-12-18T00:00:00.000Z,2.105825662612915
2021-12-19T00:00:00.000Z,2.1050639152526855
2021-12-20T00:00:00.000Z,2.104302167892456
2021-12-21T00:00:00.000Z,2.1035401821136475
2021-12-22T00:00:00.000Z,2.102778434753418
2021-12-23T00:00:00.000Z,2.1020166873931885
2021-12-24T00:00:00.000Z,2.101254940032959
2021-12-25T00:00:00.000Z,2.1004931926727295
2021-12-26T00:00:00.000Z,2.1011383533477783
2021-12-27T00:00:00.000Z,2.1017839908599854
2021-12-28T00:00:00.000Z,2.102429151535034
2021-12-29T00:00:00.000Z,2.103074550628662
2021-12-30T00:00:00.000Z,2.10371994972229
2021-12-31T00:00:00.000Z,2.104365348815918
2022-01-01T00:00:00.000Z,2.105010509490967
2022-01-02T00:00:00.000Z,2.106330633163452
2022-01-03T00:00:00.000Z,2.1076502799987793
2022-01-04T00:00:00.000Z,2.1089701652526855
2022-01-05T00:00:00.000Z,2.110290050506592
2022-01-06T00:00:00.000Z,2.111609935760498
2022-01-07T00:00:00.000Z,2.1129298210144043
2022-01-08T00:00:00.000Z,2.1142497062683105
2022-01-09T00:00:00.000Z,2.115384817123413
2022-01-10T00:00:00.000Z,2.1165196895599365
2022-01-11T00:00:00.000Z,2.117654800415039
2022-01-12T00:00:00.000Z,2.1187896728515625
2022-01-13T00:00:00.000Z,2.119924545288086
2022-01-14T00:00:00.000Z,2.1210596561431885
2022-01-15T00:00:00.000Z,2.122194528579712
2022-01-16T00:00:00.000Z,2.1226158142089844
2022-01-17T00:00:00.000Z,2.123037338256836
2022-01-18T00:00:00.000Z,2.1234586238861084
2022-01-19T00:00:00.000Z,2.123879909515381
2022-01-20T00:00:00.000Z,2.1243011951446533
2022-01-21T00:00:00.000Z,2.124722719192505
2022-01-22T00:00:00.000Z,2.1251440048217773
2022-01-23T00:00:00.000Z,2.1246984004974365
2022-01-24T00:00:00.000Z,2.124253034591675
2022-01-25T00:00:00.000Z,2.123807430267334
2022-01-26T00:00:00.000Z,2.123361587524414
2022-01-27T00:00:00.000Z,2.1229159832000732
2022-01-28T00:00:00.000Z,2.1224706172943115
2022-01-29T00:00:00.000Z,2.1220250129699707
2022-01-30T00:00:00.000Z,2.1224536895751953
2022-01-31T00:00:00.000Z,2.12288236618042
2022-02-01T00:00:00.000Z,2.1233110427856445
2022-02-02T00:00:00.000Z,2.123739719390869
2022-02-03T00:00:00.000Z,2.1241683959960938
2022-02-04T00:00:00.000Z,2.1245970726013184
2022-02-05T00:00:00.000Z,2.125025510787964
2022-02-06T00:00:00.000Z,2.1251513957977295
2022-02-07T00:00:00.000Z,2.125277042388916
2022-02-08T00:00:00.000Z,2.1254029273986816
2022-02-09T00:00:00.000Z,2.125528573989868
