# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: MULTIOBS_GLO_BIO_BGC_3D_REP_015_010
# Dataset: cmems_obs-mob_glo_bgc-chl-poc_my_0.25deg_P7D-m
# Variable: Downwelling photosynthetic photon flux in sea water (PAR_error) μmol quanta m−2 s−1
# Geometry: POINT (-37.683008 -17.712981)
# Values from graph: v(t): value vs. time
# Depth: 0 m

time,PAR_error
2000-01-19T00:00:00.000Z,225.54345703125
2000-01-26T00:00:00.000Z,263.2686767578125
2000-02-02T00:00:00.000Z,233.8511199951172
2000-02-09T00:00:00.000Z,213.8587188720703
2000-02-16T00:00:00.000Z,209.69607543945312
2000-02-23T00:00:00.000Z,228.77938842773438
2000-03-01T00:00:00.000Z,318.34014892578125
2000-03-08T00:00:00.000Z,314.6872253417969
2000-03-15T00:00:00.000Z,297.01904296875
2000-03-22T00:00:00.000Z,325.5430603027344
2000-03-29T00:00:00.000Z,317.3018493652344
2000-04-05T00:00:00.000Z,209.43875122070312
2000-04-12T00:00:00.000Z,258.36614990234375
2000-04-19T00:00:00.000Z,238.16897583007812
2000-04-26T00:00:00.000Z,243.8530731201172
2000-05-03T00:00:00.000Z,191.8919219970703
2000-05-10T00:00:00.000Z,159.1361083984375
2000-05-17T00:00:00.000Z,208.99386596679688
2000-05-24T00:00:00.000Z,211.7565155029297
2000-05-31T00:00:00.000Z,190.7728271484375
2000-06-07T00:00:00.000Z,166.097900390625
2000-06-14T00:00:00.000Z,151.55844116210938
2000-06-21T00:00:00.000Z,156.78631591796875
2000-06-28T00:00:00.000Z,148.9642333984375
2000-07-05T00:00:00.000Z,150.5502471923828
2000-07-12T00:00:00.000Z,159.65509033203125
2000-07-19T00:00:00.000Z,192.94532775878906
2000-07-26T00:00:00.000Z,190.7103729248047
2000-08-02T00:00:00.000Z,166.19375610351562
2000-08-09T00:00:00.000Z,163.3846435546875
2000-08-16T00:00:00.000Z,164.10133361816406
2000-08-23T00:00:00.000Z,142.10577392578125
2000-08-30T00:00:00.000Z,143.59178161621094
2000-09-06T00:00:00.000Z,198.42881774902344
2000-09-13T00:00:00.000Z,210.77883911132812
2000-09-20T00:00:00.000Z,179.30899047851562
2000-09-27T00:00:00.000Z,171.99920654296875
2000-10-04T00:00:00.000Z,174.16583251953125
2000-10-11T00:00:00.000Z,182.35862731933594
2000-10-18T00:00:00.000Z,163.51223754882812
2000-10-25T00:00:00.000Z,148.06137084960938
2000-11-01T00:00:00.000Z,219.5712127685547
2000-11-08T00:00:00.000Z,
2000-11-15T00:00:00.000Z,
2000-11-22T00:00:00.000Z,228.14926147460938
2000-11-29T00:00:00.000Z,188.27493286132812
2000-12-06T00:00:00.000Z,366.1856384277344
2000-12-13T00:00:00.000Z,244.21409606933594
2000-12-20T00:00:00.000Z,276.38592529296875
2000-12-27T00:00:00.000Z,259.9440002441406
2001-01-03T00:00:00.000Z,187.32940673828125
2001-01-10T00:00:00.000Z,173.7353515625
2001-01-17T00:00:00.000Z,175.8756866455078
2001-01-24T00:00:00.000Z,179.569580078125
2001-01-31T00:00:00.000Z,180.7237091064453
2001-02-07T00:00:00.000Z,210.1418914794922
2001-02-14T00:00:00.000Z,190.13534545898438
2001-02-21T00:00:00.000Z,183.29830932617188
2001-02-28T00:00:00.000Z,
2001-03-07T00:00:00.000Z,297.9698486328125
2001-03-14T00:00:00.000Z,324.99871826171875
2001-03-21T00:00:00.000Z,297.5204772949219
2001-03-28T00:00:00.000Z,332.9853515625
2001-04-04T00:00:00.000Z,210.58753967285156
2001-04-11T00:00:00.000Z,210.91265869140625
2001-04-18T00:00:00.000Z,192.36627197265625
2001-04-25T00:00:00.000Z,217.6765594482422
2001-05-02T00:00:00.000Z,165.4574432373047
2001-05-09T00:00:00.000Z,156.99945068359375
2001-05-16T00:00:00.000Z,153.99337768554688
2001-05-23T00:00:00.000Z,182.74888610839844
2001-05-30T00:00:00.000Z,173.6533660888672
2001-06-06T00:00:00.000Z,137.0676727294922
2001-06-13T00:00:00.000Z,131.77029418945312
2001-06-20T00:00:00.000Z,128.37164306640625
2001-06-27T00:00:00.000Z,138.35548400878906
2001-07-04T00:00:00.000Z,149.829345703125
2001-07-11T00:00:00.000Z,141.1688232421875
2001-07-18T00:00:00.000Z,148.7119903564453
2001-07-25T00:00:00.000Z,141.27423095703125
2001-08-01T00:00:00.000Z,142.22454833984375
2001-08-08T00:00:00.000Z,140.53782653808594
2001-08-15T00:00:00.000Z,142.96731567382812
2001-08-22T00:00:00.000Z,136.05563354492188
2001-08-29T00:00:00.000Z,136.65640258789062
2001-09-05T00:00:00.000Z,168.60504150390625
2001-09-12T00:00:00.000Z,170.6748504638672
2001-09-19T00:00:00.000Z,226.22354125976562
2001-09-26T00:00:00.000Z,222.9864501953125
2001-10-03T00:00:00.000Z,192.80853271484375
2001-10-10T00:00:00.000Z,206.02220153808594
2001-10-17T00:00:00.000Z,
2001-10-24T00:00:00.000Z,121.73359680175781
2001-10-31T00:00:00.000Z,116.24516296386719
2001-11-07T00:00:00.000Z,202.30783081054688
2001-11-14T00:00:00.000Z,
2001-11-21T00:00:00.000Z,204.21914672851562
2001-11-28T00:00:00.000Z,162.04356384277344
2001-12-05T00:00:00.000Z,289.74432373046875
2001-12-12T00:00:00.000Z,257.48193359375
2001-12-19T00:00:00.000Z,
2001-12-26T00:00:00.000Z,
2002-01-02T00:00:00.000Z,
2002-01-09T00:00:00.000Z,246.10240173339844
2002-01-16T00:00:00.000Z,
2002-01-23T00:00:00.000Z,222.5646514892578
2002-01-30T00:00:00.000Z,217.45248413085938
2002-02-06T00:00:00.000Z,245.33750915527344
2002-02-13T00:00:00.000Z,194.88609313964844
2002-02-20T00:00:00.000Z,212.14816284179688
2002-02-27T00:00:00.000Z,172.76522827148438
2002-03-06T00:00:00.000Z,277.1847229003906
2002-03-13T00:00:00.000Z,311.08416748046875
2002-03-20T00:00:00.000Z,322.80426025390625
2002-03-27T00:00:00.000Z,382.6649475097656
2002-04-03T00:00:00.000Z,253.7913818359375
2002-04-10T00:00:00.000Z,243.65017700195312
2002-04-17T00:00:00.000Z,239.2848663330078
2002-04-24T00:00:00.000Z,228.24227905273438
2002-05-01T00:00:00.000Z,190.51785278320312
2002-05-08T00:00:00.000Z,198.1099853515625
2002-05-15T00:00:00.000Z,194.22613525390625
2002-05-22T00:00:00.000Z,192.12159729003906
2002-05-29T00:00:00.000Z,215.8155517578125
2002-06-05T00:00:00.000Z,158.5614013671875
2002-06-12T00:00:00.000Z,134.69039916992188
2002-06-19T00:00:00.000Z,146.6555938720703
2002-06-26T00:00:00.000Z,142.19700622558594
2002-07-03T00:00:00.000Z,145.6240692138672
2002-07-10T00:00:00.000Z,156.2783203125
2002-07-17T00:00:00.000Z,157.83055114746094
2002-07-24T00:00:00.000Z,150.29808044433594
2002-07-31T00:00:00.000Z,164.5050506591797
2002-08-07T00:00:00.000Z,135.83055114746094
2002-08-14T00:00:00.000Z,137.50254821777344
2002-08-21T00:00:00.000Z,135.28955078125
2002-08-28T00:00:00.000Z,123.94930267333984
2002-09-04T00:00:00.000Z,159.60577392578125
2002-09-11T00:00:00.000Z,147.9733123779297
2002-09-18T00:00:00.000Z,195.19635009765625
2002-09-25T00:00:00.000Z,188.0792999267578
2002-10-02T00:00:00.000Z,131.99598693847656
2002-10-09T00:00:00.000Z,136.3731689453125
2002-10-16T00:00:00.000Z,132.61404418945312
2002-10-23T00:00:00.000Z,127.72306823730469
2002-10-30T00:00:00.000Z,137.0468292236328
2002-11-06T00:00:00.000Z,272.2869873046875
2002-11-13T00:00:00.000Z,170.17529296875
2002-11-20T00:00:00.000Z,199.15541076660156
2002-11-27T00:00:00.000Z,261.5511169433594
2002-12-04T00:00:00.000Z,264.3980407714844
2002-12-11T00:00:00.000Z,279.0023498535156
2002-12-18T00:00:00.000Z,259.6651916503906
2002-12-25T00:00:00.000Z,316.0063781738281
2003-01-01T00:00:00.000Z,192.6672821044922
2003-01-08T00:00:00.000Z,203.75259399414062
2003-01-15T00:00:00.000Z,242.24473571777344
2003-01-22T00:00:00.000Z,199.49307250976562
2003-01-29T00:00:00.000Z,197.04042053222656
2003-02-05T00:00:00.000Z,225.55203247070312
2003-02-12T00:00:00.000Z,222.62327575683594
2003-02-19T00:00:00.000Z,206.3181915283203
2003-02-26T00:00:00.000Z,186.17764282226562
2003-03-05T00:00:00.000Z,304.9407043457031
2003-03-12T00:00:00.000Z,345.1192321777344
2003-03-19T00:00:00.000Z,338.4806823730469
2003-03-26T00:00:00.000Z,325.7232360839844
2003-04-02T00:00:00.000Z,249.25413513183594
2003-04-09T00:00:00.000Z,263.8533020019531
2003-04-16T00:00:00.000Z,223.14486694335938
2003-04-23T00:00:00.000Z,228.102294921875
2003-04-30T00:00:00.000Z,244.2217559814453
2003-05-07T00:00:00.000Z,175.92434692382812
2003-05-14T00:00:00.000Z,184.2268829345703
2003-05-21T00:00:00.000Z,169.62010192871094
2003-05-28T00:00:00.000Z,169.04135131835938
2003-06-04T00:00:00.000Z,150.81251525878906
2003-06-11T00:00:00.000Z,144.59207153320312
2003-06-18T00:00:00.000Z,146.12033081054688
2003-06-25T00:00:00.000Z,154.7157440185547
2003-07-02T00:00:00.000Z,155.70767211914062
2003-07-09T00:00:00.000Z,150.88832092285156
2003-07-16T00:00:00.000Z,164.5349578857422
2003-07-23T00:00:00.000Z,154.66429138183594
2003-07-30T00:00:00.000Z,158.98301696777344
2003-08-06T00:00:00.000Z,155.28610229492188
2003-08-13T00:00:00.000Z,182.98939514160156
2003-08-20T00:00:00.000Z,172.56837463378906
2003-08-27T00:00:00.000Z,146.40274047851562
2003-09-03T00:00:00.000Z,226.5711669921875
2003-09-10T00:00:00.000Z,185.19790649414062
2003-09-17T00:00:00.000Z,179.47105407714844
2003-09-24T00:00:00.000Z,214.99008178710938
2003-10-01T00:00:00.000Z,245.62538146972656
2003-10-08T00:00:00.000Z,249.70010375976562
2003-10-15T00:00:00.000Z,137.3767547607422
2003-10-22T00:00:00.000Z,104.88111877441406
2003-10-29T00:00:00.000Z,113.345703125
2003-11-05T00:00:00.000Z,203.8336639404297
2003-11-12T00:00:00.000Z,182.7190399169922
2003-11-19T00:00:00.000Z,191.39852905273438
2003-11-26T00:00:00.000Z,246.53817749023438
2003-12-03T00:00:00.000Z,249.3075714111328
2003-12-10T00:00:00.000Z,212.8733367919922
2003-12-17T00:00:00.000Z,208.05677795410156
2003-12-24T00:00:00.000Z,234.76068115234375
2003-12-31T00:00:00.000Z,271.75030517578125
2004-01-07T00:00:00.000Z,238.98118591308594
2004-01-14T00:00:00.000Z,
2004-01-21T00:00:00.000Z,208.4715576171875
2004-01-28T00:00:00.000Z,216.75247192382812
2004-02-04T00:00:00.000Z,232.75686645507812
2004-02-11T00:00:00.000Z,247.11709594726562
2004-02-18T00:00:00.000Z,241.0209197998047
2004-02-25T00:00:00.000Z,198.8495635986328
2004-03-03T00:00:00.000Z,273.0534973144531
2004-03-10T00:00:00.000Z,320.5159912109375
2004-03-17T00:00:00.000Z,311.7067565917969
2004-03-24T00:00:00.000Z,329.56634521484375
2004-03-31T00:00:00.000Z,320.99871826171875
2004-04-07T00:00:00.000Z,251.18841552734375
2004-04-14T00:00:00.000Z,239.11293029785156
2004-04-21T00:00:00.000Z,234.21209716796875
2004-04-28T00:00:00.000Z,233.28884887695312
2004-05-05T00:00:00.000Z,195.1868438720703
2004-05-12T00:00:00.000Z,168.75225830078125
2004-05-19T00:00:00.000Z,150.81980895996094
2004-05-26T00:00:00.000Z,171.76077270507812
2004-06-02T00:00:00.000Z,141.87338256835938
2004-06-09T00:00:00.000Z,142.2495880126953
2004-06-16T00:00:00.000Z,137.13656616210938
2004-06-23T00:00:00.000Z,142.5047149658203
2004-06-30T00:00:00.000Z,156.76380920410156
2004-07-07T00:00:00.000Z,148.70510864257812
2004-07-14T00:00:00.000Z,154.63633728027344
2004-07-21T00:00:00.000Z,172.7600555419922
2004-07-28T00:00:00.000Z,196.30615234375
2004-08-04T00:00:00.000Z,170.7090606689453
2004-08-11T00:00:00.000Z,167.45179748535156
2004-08-18T00:00:00.000Z,155.98260498046875
2004-08-25T00:00:00.000Z,131.0375518798828
2004-09-01T00:00:00.000Z,176.6495819091797
2004-09-08T00:00:00.000Z,202.83584594726562
2004-09-15T00:00:00.000Z,201.4535369873047
2004-09-22T00:00:00.000Z,224.75558471679688
2004-09-29T00:00:00.000Z,198.34786987304688
2004-10-06T00:00:00.000Z,160.2457275390625
2004-10-13T00:00:00.000Z,129.65040588378906
2004-10-20T00:00:00.000Z,130.40728759765625
2004-10-27T00:00:00.000Z,149.5858154296875
2004-11-03T00:00:00.000Z,193.94752502441406
2004-11-10T00:00:00.000Z,182.750732421875
2004-11-17T00:00:00.000Z,220.65065002441406
2004-11-24T00:00:00.000Z,269.1672668457031
2004-12-01T00:00:00.000Z,282.915771484375
2004-12-08T00:00:00.000Z,260.7281188964844
2004-12-15T00:00:00.000Z,255.5509490966797
2004-12-22T00:00:00.000Z,291.1144714355469
2004-12-29T00:00:00.000Z,240.82029724121094
2005-01-05T00:00:00.000Z,217.50631713867188
2005-01-12T00:00:00.000Z,219.59811401367188
2005-01-19T00:00:00.000Z,212.17222595214844
2005-01-26T00:00:00.000Z,214.62913513183594
2005-02-02T00:00:00.000Z,237.98318481445312
2005-02-09T00:00:00.000Z,207.43594360351562
2005-02-16T00:00:00.000Z,254.25540161132812
2005-02-23T00:00:00.000Z,220.97341918945312
2005-03-02T00:00:00.000Z,261.1326904296875
2005-03-09T00:00:00.000Z,290.0993347167969
2005-03-16T00:00:00.000Z,362.0063781738281
2005-03-23T00:00:00.000Z,359.9728088378906
2005-03-30T00:00:00.000Z,333.7222595214844
2005-04-06T00:00:00.000Z,265.92962646484375
2005-04-13T00:00:00.000Z,243.7384796142578
2005-04-20T00:00:00.000Z,191.7416229248047
2005-04-27T00:00:00.000Z,194.50991821289062
2005-05-04T00:00:00.000Z,191.4160919189453
2005-05-11T00:00:00.000Z,194.50230407714844
2005-05-18T00:00:00.000Z,183.68203735351562
2005-05-25T00:00:00.000Z,182.9954376220703
2005-06-01T00:00:00.000Z,152.33108520507812
2005-06-08T00:00:00.000Z,157.3706512451172
2005-06-15T00:00:00.000Z,145.296142578125
2005-06-22T00:00:00.000Z,147.65875244140625
2005-06-29T00:00:00.000Z,162.6478729248047
2005-07-06T00:00:00.000Z,143.39569091796875
2005-07-13T00:00:00.000Z,148.66844177246094
