# Credits: NECCTON Project (EU) - https://neccton.eu/
# Product: GLOBAL_ANALYSISFORECAST_BGC_001_028
# Dataset: cmems_mod_glo_bgc-car_anfc_0.25deg_P1D-m
# Variable: Sea water alkalinity expressed as mole equivalent (talk) mol m-3
# Geometry: POINT (-38.710352 -17.97564)
# Values from graph: v(t): value vs. time
# Depth: 0.4940253794193268 m

time,talk
2021-11-01T00:00:00.000Z,2.5037786960601807
2021-11-02T00:00:00.000Z,2.503277063369751
2021-11-03T00:00:00.000Z,2.502775192260742
2021-11-04T00:00:00.000Z,2.5022737979888916
2021-11-05T00:00:00.000Z,2.501771926879883
2021-11-06T00:00:00.000Z,2.501270055770874
2021-11-07T00:00:00.000Z,2.5011417865753174
2021-11-08T00:00:00.000Z,2.501013994216919
2021-11-09T00:00:00.000Z,2.5008859634399414
2021-11-10T00:00:00.000Z,2.5007576942443848
2021-11-11T00:00:00.000Z,2.5006296634674072
2021-11-12T00:00:00.000Z,2.5005013942718506
2021-11-13T00:00:00.000Z,2.500373363494873
2021-11-14T00:00:00.000Z,2.499973773956299
2021-11-15T00:00:00.000Z,2.4995741844177246
2021-11-16T00:00:00.000Z,2.4991745948791504
2021-11-17T00:00:00.000Z,2.498774766921997
2021-11-18T00:00:00.000Z,2.498375177383423
2021-11-19T00:00:00.000Z,2.4979755878448486
2021-11-20T00:00:00.000Z,2.4975759983062744
2021-11-21T00:00:00.000Z,2.4979028701782227
2021-11-22T00:00:00.000Z,2.49822998046875
2021-11-23T00:00:00.000Z,2.4985568523406982
2021-11-24T00:00:00.000Z,2.4988839626312256
2021-11-25T00:00:00.000Z,2.499210834503174
2021-11-26T00:00:00.000Z,2.499537944793701
2021-11-27T00:00:00.000Z,2.4998648166656494
2021-11-28T00:00:00.000Z,2.4992594718933105
2021-11-29T00:00:00.000Z,2.4986538887023926
2021-11-30T00:00:00.000Z,2.4980483055114746
2021-12-01T00:00:00.000Z,2.4974427223205566
2021-12-02T00:00:00.000Z,2.4968371391296387
2021-12-03T00:00:00.000Z,2.4962315559387207
2021-12-04T00:00:00.000Z,2.4956259727478027
2021-12-05T00:00:00.000Z,2.4906492233276367
2021-12-06T00:00:00.000Z,2.4856722354888916
2021-12-07T00:00:00.000Z,2.4806954860687256
2021-12-08T00:00:00.000Z,2.4757184982299805
2021-12-09T00:00:00.000Z,2.4707415103912354
2021-12-10T00:00:00.000Z,2.4657647609710693
2021-12-11T00:00:00.000Z,2.460787773132324
2021-12-12T00:00:00.000Z,2.4603073596954346
2021-12-13T00:00:00.000Z,2.459827184677124
2021-12-14T00:00:00.000Z,2.4593467712402344
2021-12-15T00:00:00.000Z,2.4588663578033447
2021-12-16T00:00:00.000Z,2.458385944366455
2021-12-17T00:00:00.000Z,2.4579055309295654
2021-12-18T00:00:00.000Z,2.457425117492676
2021-12-19T00:00:00.000Z,2.456235408782959
2021-12-20T00:00:00.000Z,2.455045223236084
2021-12-21T00:00:00.000Z,2.453855276107788
2021-12-22T00:00:00.000Z,2.452665328979492
2021-12-23T00:00:00.000Z,2.4514753818511963
2021-12-24T00:00:00.000Z,2.4502851963043213
2021-12-25T00:00:00.000Z,2.4490952491760254
2021-12-26T00:00:00.000Z,2.449469804763794
2021-12-27T00:00:00.000Z,2.4498443603515625
2021-12-28T00:00:00.000Z,2.450218915939331
2021-12-29T00:00:00.000Z,2.4505934715270996
2021-12-30T00:00:00.000Z,2.450968027114868
2021-12-31T00:00:00.000Z,2.4513425827026367
2022-01-01T00:00:00.000Z,2.4517171382904053
2022-01-02T00:00:00.000Z,2.4530303478240967
2022-01-03T00:00:00.000Z,2.454343557357788
2022-01-04T00:00:00.000Z,2.4556567668914795
2022-01-05T00:00:00.000Z,2.45697021484375
2022-01-06T00:00:00.000Z,2.4582834243774414
2022-01-07T00:00:00.000Z,2.459596633911133
2022-01-08T00:00:00.000Z,2.460909843444824
2022-01-09T00:00:00.000Z,2.4624054431915283
2022-01-10T00:00:00.000Z,2.4639015197753906
2022-01-11T00:00:00.000Z,2.465397357940674
2022-01-12T00:00:00.000Z,2.466892957687378
2022-01-13T00:00:00.000Z,2.468388795852661
2022-01-14T00:00:00.000Z,2.4698846340179443
2022-01-15T00:00:00.000Z,2.4713802337646484
2022-01-16T00:00:00.000Z,2.4722304344177246
2022-01-17T00:00:00.000Z,2.4730803966522217
2022-01-18T00:00:00.000Z,2.473930597305298
2022-01-19T00:00:00.000Z,2.474780559539795
2022-01-20T00:00:00.000Z,2.475630521774292
2022-01-21T00:00:00.000Z,2.476480722427368
2022-01-22T00:00:00.000Z,2.4773306846618652
2022-01-23T00:00:00.000Z,2.4770476818084717
2022-01-24T00:00:00.000Z,2.4767651557922363
2022-01-25T00:00:00.000Z,2.4764821529388428
2022-01-26T00:00:00.000Z,2.4761993885040283
2022-01-27T00:00:00.000Z,2.4759163856506348
2022-01-28T00:00:00.000Z,2.4756336212158203
2022-01-29T00:00:00.000Z,2.4753506183624268
2022-01-30T00:00:00.000Z,2.4760916233062744
2022-01-31T00:00:00.000Z,2.476832628250122
2022-02-01T00:00:00.000Z,2.4775736331939697
2022-02-02T00:00:00.000Z,2.4783143997192383
2022-02-03T00:00:00.000Z,2.479055404663086
2022-02-04T00:00:00.000Z,2.4797964096069336
2022-02-05T00:00:00.000Z,2.480537176132202
2022-02-06T00:00:00.000Z,2.480748414993286
2022-02-07T00:00:00.000Z,2.48095965385437
2022-02-08T00:00:00.000Z,2.481170892715454
2022-02-09T00:00:00.000Z,2.481382131576538
