# Credits: NECCTON Project (EU) - https://neccton.eu/
# Product: GLOBAL_ANALYSISFORECAST_BGC_001_028
# Dataset: cmems_mod_glo_bgc-car_anfc_0.25deg_P1D-m
# Variable: Sea water ph reported on total scale (ph) 1
# Geometry: POINT (-38.710352 -17.97564)
# Values from graph: v(t): value vs. time
# Depth: 0.4940253794193268 m

time,ph
2021-11-01T00:00:00.000Z,8.042715072631836
2021-11-02T00:00:00.000Z,8.045022010803223
2021-11-03T00:00:00.000Z,8.045272827148438
2021-11-04T00:00:00.000Z,8.043418884277344
2021-11-05T00:00:00.000Z,8.041038513183594
2021-11-06T00:00:00.000Z,8.040328025817871
2021-11-07T00:00:00.000Z,8.039483070373535
2021-11-08T00:00:00.000Z,8.036139488220215
2021-11-09T00:00:00.000Z,8.034272193908691
2021-11-10T00:00:00.000Z,8.03483772277832
2021-11-11T00:00:00.000Z,8.0336275100708
2021-11-12T00:00:00.000Z,8.034283638000488
2021-11-13T00:00:00.000Z,8.04280948638916
2021-11-14T00:00:00.000Z,8.052741050720215
2021-11-15T00:00:00.000Z,8.057215690612793
2021-11-16T00:00:00.000Z,8.057975769042969
2021-11-17T00:00:00.000Z,8.055691719055176
2021-11-18T00:00:00.000Z,8.050811767578125
2021-11-19T00:00:00.000Z,8.04641056060791
2021-11-20T00:00:00.000Z,8.04395866394043
2021-11-21T00:00:00.000Z,8.043966293334961
2021-11-22T00:00:00.000Z,8.047966003417969
2021-11-23T00:00:00.000Z,8.050348281860352
2021-11-24T00:00:00.000Z,8.045149803161621
2021-11-25T00:00:00.000Z,8.04128646850586
2021-11-26T00:00:00.000Z,8.040352821350098
2021-11-27T00:00:00.000Z,8.03984546661377
2021-11-28T00:00:00.000Z,8.040797233581543
2021-11-29T00:00:00.000Z,8.040767669677734
2021-11-30T00:00:00.000Z,8.040925979614258
2021-12-01T00:00:00.000Z,8.042076110839844
2021-12-02T00:00:00.000Z,8.041313171386719
2021-12-03T00:00:00.000Z,8.040738105773926
2021-12-04T00:00:00.000Z,8.0419921875
2021-12-05T00:00:00.000Z,8.04078197479248
2021-12-06T00:00:00.000Z,8.040138244628906
2021-12-07T00:00:00.000Z,8.043177604675293
2021-12-08T00:00:00.000Z,8.047445297241211
2021-12-09T00:00:00.000Z,8.05296802520752
2021-12-10T00:00:00.000Z,8.059147834777832
2021-12-11T00:00:00.000Z,8.05906867980957
2021-12-12T00:00:00.000Z,8.054905891418457
2021-12-13T00:00:00.000Z,8.051936149597168
2021-12-14T00:00:00.000Z,8.050836563110352
2021-12-15T00:00:00.000Z,8.051578521728516
2021-12-16T00:00:00.000Z,8.051137924194336
2021-12-17T00:00:00.000Z,8.049962997436523
2021-12-18T00:00:00.000Z,8.04770565032959
2021-12-19T00:00:00.000Z,8.04351806640625
2021-12-20T00:00:00.000Z,8.0396146774292
2021-12-21T00:00:00.000Z,8.036181449890137
2021-12-22T00:00:00.000Z,8.034805297851562
2021-12-23T00:00:00.000Z,8.036166191101074
2021-12-24T00:00:00.000Z,8.040444374084473
2021-12-25T00:00:00.000Z,8.044092178344727
2021-12-26T00:00:00.000Z,8.043471336364746
2021-12-27T00:00:00.000Z,8.042356491088867
2021-12-28T00:00:00.000Z,8.042495727539062
2021-12-29T00:00:00.000Z,8.040266036987305
2021-12-30T00:00:00.000Z,8.036857604980469
2021-12-31T00:00:00.000Z,8.036107063293457
2022-01-01T00:00:00.000Z,8.036235809326172
2022-01-02T00:00:00.000Z,8.036559104919434
2022-01-03T00:00:00.000Z,8.03714656829834
2022-01-04T00:00:00.000Z,8.037654876708984
2022-01-05T00:00:00.000Z,8.037925720214844
2022-01-06T00:00:00.000Z,8.03869915008545
2022-01-07T00:00:00.000Z,8.039231300354004
2022-01-08T00:00:00.000Z,8.037785530090332
2022-01-09T00:00:00.000Z,8.035053253173828
2022-01-10T00:00:00.000Z,8.031512260437012
2022-01-11T00:00:00.000Z,8.029603958129883
2022-01-12T00:00:00.000Z,8.03050422668457
2022-01-13T00:00:00.000Z,8.029149055480957
2022-01-14T00:00:00.000Z,8.0264310836792
2022-01-15T00:00:00.000Z,8.024406433105469
2022-01-16T00:00:00.000Z,8.02216625213623
2022-01-17T00:00:00.000Z,8.02022647857666
2022-01-18T00:00:00.000Z,8.021571159362793
2022-01-19T00:00:00.000Z,8.022343635559082
2022-01-20T00:00:00.000Z,8.020759582519531
2022-01-21T00:00:00.000Z,8.020791053771973
2022-01-22T00:00:00.000Z,8.021613121032715
2022-01-23T00:00:00.000Z,8.02342700958252
2022-01-24T00:00:00.000Z,8.02611255645752
2022-01-25T00:00:00.000Z,8.02923583984375
2022-01-26T00:00:00.000Z,8.030595779418945
2022-01-27T00:00:00.000Z,8.0274658203125
2022-01-28T00:00:00.000Z,8.024590492248535
2022-01-29T00:00:00.000Z,8.02464771270752
2022-01-30T00:00:00.000Z,8.023608207702637
2022-01-31T00:00:00.000Z,8.021377563476562
2022-02-01T00:00:00.000Z,8.018882751464844
2022-02-02T00:00:00.000Z,8.015947341918945
2022-02-03T00:00:00.000Z,8.013289451599121
2022-02-04T00:00:00.000Z,8.014579772949219
2022-02-05T00:00:00.000Z,8.01990795135498
2022-02-06T00:00:00.000Z,8.025294303894043
2022-02-07T00:00:00.000Z,8.028791427612305
2022-02-08T00:00:00.000Z,8.030437469482422
2022-02-09T00:00:00.000Z,8.03016471862793
2022-02-10T00:00:00.000Z,8.027250289916992
2022-02-11T00:00:00.000Z,8.02367115020752
2022-02-12T00:00:00.000Z,8.023456573486328
